,Username,Tweets Ago,index,Compound Score,Negative Score,Neutral Score,Postive Score,days_ago
0,@BBCWorld,1,0,0.5707,0.0,0.862,0.138,0
1,@BBCWorld,2,1,0.0,0.0,1.0,0.0,0
2,@BBCWorld,3,2,0.25,0.103,0.714,0.183,0
3,@BBCWorld,4,3,0.1406,0.056,0.864,0.08,0
4,@BBCWorld,5,4,-0.8885,0.59,0.41,0.0,0
5,@BBCWorld,6,5,-0.1531,0.232,0.6,0.168,0
6,@BBCWorld,7,6,-0.6597,0.423,0.577,0.0,0
7,@BBCWorld,8,7,0.0,0.0,1.0,0.0,0
8,@BBCWorld,9,8,0.0,0.0,1.0,0.0,0
9,@BBCWorld,10,9,0.0,0.0,1.0,0.0,0
10,@BBCWorld,11,10,-0.5994,0.308,0.692,0.0,0
11,@BBCWorld,12,11,-0.9578,0.513,0.487,0.0,0
12,@BBCWorld,13,12,0.0,0.0,1.0,0.0,0
13,@BBCWorld,14,13,0.0,0.0,1.0,0.0,0
14,@BBCWorld,15,14,0.5106,0.0,0.732,0.268,0
15,@BBCWorld,16,15,-0.6705,0.407,0.593,0.0,0
16,@BBCWorld,17,16,0.0,0.0,1.0,0.0,0
17,@BBCWorld,18,17,-0.5719,0.346,0.654,0.0,0
18,@BBCWorld,19,18,0.0,0.0,1.0,0.0,0
19,@BBCWorld,20,19,-0.656,0.313,0.599,0.088,0
20,@BBCWorld,21,20,0.0258,0.215,0.561,0.224,0
21,@BBCWorld,22,21,0.1779,0.0,0.805,0.195,0
22,@BBCWorld,23,22,-0.6369,0.506,0.291,0.203,0
23,@BBCWorld,24,23,-0.7184,0.25,0.75,0.0,0
24,@BBCWorld,25,24,-0.3818,0.206,0.794,0.0,0
25,@BBCWorld,26,25,-0.2263,0.192,0.808,0.0,0
26,@BBCWorld,27,26,-0.4019,0.177,0.742,0.081,0
27,@BBCWorld,28,27,0.0,0.0,1.0,0.0,0
28,@BBCWorld,29,28,-0.6249,0.63,0.37,0.0,0
29,@BBCWorld,30,29,-0.7906,0.467,0.533,0.0,0
30,@BBCWorld,31,30,-0.4588,0.304,0.588,0.108,0
31,@BBCWorld,32,31,0.5106,0.0,0.732,0.268,0
32,@BBCWorld,33,32,0.0772,0.0,0.843,0.157,0
33,@BBCWorld,34,33,0.0,0.0,1.0,0.0,0
34,@BBCWorld,35,34,-0.8074,0.378,0.622,0.0,0
35,@BBCWorld,36,35,-0.7351,0.47,0.53,0.0,0
36,@BBCWorld,37,36,-0.4019,0.231,0.769,0.0,0
