station,date,prcp,tobs
USC00519397,2016-08-24,0.08,79
USC00519397,2016-08-25,0.08,80
USC00519397,2016-08-26,0.0,79
USC00519397,2016-08-27,0.0,77
USC00519397,2016-08-28,0.01,78
USC00519397,2016-08-29,0.0,78
USC00519397,2016-08-30,0.0,79
USC00519397,2016-08-31,0.13,80
USC00519397,2016-09-01,0.0,81
USC00519397,2016-09-02,0.0,80
USC00519397,2016-09-03,0.0,79
USC00519397,2016-09-04,0.03,75
USC00519397,2016-09-07,0.05,76
USC00519397,2016-09-08,0.0,80
USC00519397,2016-09-09,0.03,79
USC00519397,2016-09-10,0.0,78
USC00519397,2016-09-11,0.05,76
USC00519397,2016-09-12,0.0,78
USC00519397,2016-09-13,0.02,78
USC00519397,2016-09-14,1.32,75
USC00519397,2016-09-15,0.42,79
USC00519397,2016-09-16,0.06,80
USC00519397,2016-09-17,0.05,79
USC00519397,2016-09-18,0.0,81
USC00519397,2016-09-19,0.0,77
USC00519397,2016-09-20,0.0,77
USC00519397,2016-09-21,0.0,78
USC00519397,2016-09-22,0.02,76
USC00519397,2016-09-23,0.0,82
USC00519397,2016-09-24,0.0,81
USC00519397,2016-09-25,0.0,78
USC00519397,2016-09-26,0.06,80
USC00519397,2016-09-27,0.02,80
USC00519397,2016-09-28,0.0,79
USC00519397,2016-09-29,0.0,80
USC00519397,2016-09-30,0.0,80
USC00519397,2016-10-01,0.0,80
USC00519397,2016-10-02,0.0,79
USC00519397,2016-10-03,0.0,79
USC00519397,2016-10-04,0.0,79
USC00519397,2016-10-05,0.0,80
USC00519397,2016-10-06,0.0,80
USC00519397,2016-10-07,0.0,79
USC00519397,2016-10-08,0.0,78
USC00519397,2016-10-09,0.0,76
USC00519397,2016-10-10,0.0,75
USC00519397,2016-10-11,0.0,80
USC00519397,2016-10-12,0.0,80
USC00519397,2016-10-13,0.0,79
USC00519397,2016-10-14,0.0,80
USC00519397,2016-10-15,0.0,79
USC00519397,2016-10-16,0.0,78
USC00519397,2016-10-17,0.01,78
USC00519397,2016-10-18,0.0,80
USC00519397,2016-10-19,0.0,81
USC00519397,2016-10-20,0.0,79
USC00519397,2016-10-21,0.05,77
USC00519397,2016-10-22,0.15,79
USC00519397,2016-10-23,0.01,78
USC00519397,2016-10-24,0.0,77
USC00519397,2016-10-25,0.03,77
USC00519397,2016-10-26,0.0,78
USC00519397,2016-10-27,0.0,77
USC00519397,2016-10-28,0.0,78
USC00519397,2016-10-29,0.0,77
USC00519397,2016-10-30,0.24,76
USC00519397,2016-10-31,0.03,77
USC00519397,2016-11-01,0.0,77
USC00519397,2016-11-02,0.0,77
USC00519397,2016-11-03,0.0,77
USC00519397,2016-11-04,0.0,77
USC00519397,2016-11-05,0.0,76
USC00519397,2016-11-06,0.0,75
USC00519397,2016-11-07,0.0,71
USC00519397,2016-11-08,0.07,71
USC00519397,2016-11-09,0.0,71
USC00519397,2016-11-10,0.0,71
USC00519397,2016-11-11,0.0,72
USC00519397,2016-11-12,0.0,71
USC00519397,2016-11-13,0.0,72
USC00519397,2016-11-14,0.0,77
USC00519397,2016-11-15,0.0,77
USC00519397,2016-11-16,0.0,77
USC00519397,2016-11-17,0.0,77
USC00519397,2016-11-18,0.0,77
USC00519397,2016-11-19,0.03,75
USC00519397,2016-11-20,0.05,76
USC00519397,2016-11-21,0.01,76
USC00519397,2016-11-22,0.13,75
USC00519397,2016-11-23,0.14,72
USC00519397,2016-11-24,0.05,74
USC00519397,2016-11-25,0.05,75
USC00519397,2016-11-26,0.05,73
USC00519397,2016-11-27,0.0,76
USC00519397,2016-11-28,0.01,75
USC00519397,2016-11-29,0.0,68
USC00519397,2016-11-30,0.14,75
USC00519397,2016-12-01,0.12,75
USC00519397,2016-12-02,0.03,72
USC00519397,2016-12-03,0.0,69
USC00519397,2016-12-04,0.03,71
USC00519397,2016-12-05,0.43,68
USC00519397,2016-12-06,0.02,67
USC00519397,2016-12-07,0.0,69
USC00519397,2016-12-08,0.03,73
USC00519397,2016-12-09,0.52,70
USC00519397,2016-12-10,0.05,70
USC00519397,2016-12-11,0.04,70
USC00519397,2016-12-12,0.01,66
